Country.of.Origin,Region,Harvest.Year,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Ethiopia,guji-hambela,2014,,Washed / Wet,0.11534025374855825,0.11325028312570781,0.11534025374855825,0.11428571428571428,0.11764705882352941,0.11876484560570072,0.1,0.1,0.1,0.11428571428571428,0.01103996467211305,0.12,0,0.0,Green,0,1950.0,2200.0,2075.0
Ethiopia,guji-hambela,2014,Other,Washed / Wet,0.11428571428571428,0.11534025374855825,0.11764705882352941,0.11655011655011654,0.11876484560570072,0.11876484560570072,0.1,0.1,0.1,0.11655011655011654,0.01112099644128114,0.12,0,0.0,Green,1,1950.0,2200.0,2075.0
Guatemala,,,Bourbon,,0.11876484560570072,0.11764705882352941,0.11876484560570072,0.11876484560570072,0.12004801920768307,0.11876484560570072,0.1,0.1,0.1,0.10810810810810811,0.011142061281337047,0.0,0,0.0,,0,1600.0,1800.0,1700.0
Ethiopia,oromia,2014,,Natural / Dry,0.12239902080783353,0.11655011655011654,0.11876484560570072,0.11876484560570072,0.11764705882352941,0.12121212121212122,0.1,0.1,0.1,0.11534025374855825,0.011235955056179775,0.11,0,0.0,Green,2,1800.0,2200.0,2000.0
Ethiopia,guji-hambela,2014,Other,Washed / Wet,0.12121212121212122,0.11764705882352941,0.12121212121212122,0.11764705882352941,0.11876484560570072,0.12004801920768307,0.1,0.1,0.1,0.11655011655011654,0.011257458065968704,0.12,0,0.0,Green,2,1950.0,2200.0,2075.0
Brazil,,2013,,Natural / Dry,0.11655011655011654,0.11876484560570072,0.11876484560570072,0.11764705882352941,0.12121212121212122,0.12004801920768307,0.1,0.1,0.1,0.12004801920768307,0.011257458065968704,0.11,0,0.0,Bluish-Green,1,,,
Peru,,2012,Other,Washed / Wet,0.11876484560570072,0.11764705882352941,0.12004801920768307,0.11764705882352941,0.12121212121212122,0.12121212121212122,0.1,0.1,0.1,0.11764705882352941,0.011267605633802818,0.11,0,0.0,Bluish-Green,0,,,
Ethiopia,oromia,2010,,,0.12121212121212122,0.12004801920768307,0.11764705882352941,0.11876484560570072,0.12004801920768307,0.11764705882352941,0.1,0.1,0.10718113612004287,0.1111111111111111,0.01127777151234916,0.03,0,0.0,,0,1570.0,1700.0,1635.0
Ethiopia,oromiya,2010,,,0.11534025374855825,0.11534025374855825,0.11655011655011654,0.11876484560570072,0.12004801920768307,0.11876484560570072,0.10718113612004287,0.1,0.10718113612004287,0.11534025374855825,0.011309658448314861,0.03,0,0.0,,0,1570.0,1700.0,1635.0
Ethiopia,"snnp/kaffa zone,gimbowereda",2014,Other,Natural / Dry,0.12376237623762376,0.11655011655011654,0.11764705882352941,0.11764705882352941,0.1303780964797914,0.11876484560570072,0.1,0.1,0.1,0.11764705882352941,0.0113314447592068,0.1,0,0.0,Green,4,1795.0,1850.0,1822.5
Ethiopia,oromia,2014,,Natural / Dry,0.12239902080783353,0.11534025374855825,0.12121212121212122,0.11764705882352941,0.12903225806451613,0.12239902080783353,0.1,0.1,0.1,0.11655011655011654,0.011353315168029064,0.1,0,0.0,,1,1855.0,1955.0,1905.0
United States,antioquia,2014,Other,Washed / Wet,0.12121212121212122,0.11876484560570072,0.12239902080783353,0.12004801920768307,0.12376237623762376,0.12239902080783353,0.1,0.1,0.1,0.11764705882352941,0.011373976342129208,0.0,0,0.0,,0,1872.0,1872.0,1872.0
