Country.of.Origin,Region,Harvest.Year,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters
19,95,2014.0,27,4,0.13793103448275862,0.1394700139470014,0.1394700139470014,0.13793103448275862,0.1394700139470014,0.1347708894878706,0.1,0.1,0.1,0.13793103448275862,0.012396181975951407,0.12,0,0.0,2,4,1200.0,1200.0,1200.0
19,200,2018.0,27,4,0.13793103448275862,0.12690355329949238,0.13550135501355015,0.1310615989515072,0.13333333333333333,0.11428571428571428,0.1111111111111111,0.1,0.1,0.125,0.011993283761093787,0.09,2,0.0,2,4,900.0,1200.0,1050.0
9,217,2013.0,2,4,0.1303780964797914,0.1277139208173691,0.1364256480218281,0.1303780964797914,0.13333333333333333,0.1303780964797914,0.1,0.1,0.1,0.13333333333333333,0.012023566189731874,0.11,0,0.0,2,2,1310.64,1310.64,1310.64
32,149,2012.0,9,4,0.1347708894878706,0.1364256480218281,0.1364256480218281,0.1364256480218281,0.1394700139470014,0.1277139208173691,0.1,0.1,0.1,0.13793103448275862,0.012244398187829068,0.1,1,0.0,2,1,518.1600000000001,518.1600000000001,518.1600000000001
11,168,2016.0,4,4,0.1303780964797914,0.1303780964797914,0.13333333333333333,0.1303780964797914,0.13333333333333333,0.1303780964797914,0.1,0.1,0.1,0.13333333333333333,0.012023566189731874,0.11,0,1.0,0,1,1450.0,1450.0,1450.0
9,217,2014.0,15,4,0.13333333333333333,0.1394700139470014,0.14641288433382138,0.13333333333333333,0.1394700139470014,0.1394700139470014,0.1,0.1,0.1,0.1394700139470014,0.012422360248447204,0.11,0,0.0,2,3,1219.2,1219.2,1219.2
9,253,2013.0,5,4,0.13333333333333333,0.13192612137203166,0.1347708894878706,0.1303780964797914,0.13192612137203166,0.13333333333333333,0.1,0.1,0.1,0.13333333333333333,0.012084592145015106,0.1,0,1.0,2,3,1100.0,1100.0,1100.0
7,250,2012.0,2,4,0.12903225806451613,0.125,0.125,0.12004801920768307,0.1303780964797914,0.12626262626262627,0.1,0.1,0.10718113612004287,0.12903225806451613,0.011799410029498525,0.15,0,0.0,2,3,1200.0,1200.0,1200.0
32,149,2012.0,9,4,0.1394700139470014,0.13333333333333333,0.14450867052023122,0.1364256480218281,0.1303780964797914,0.1364256480218281,0.10718113612004287,0.1,0.1,0.14124293785310735,0.012448649321548612,0.12,5,0.0,2,7,518.1600000000001,518.1600000000001,518.1600000000001
9,12,2012.0,5,4,0.1303780964797914,0.1303780964797914,0.1394700139470014,0.1303780964797914,0.13333333333333333,0.13333333333333333,0.1,0.1,0.1,0.13333333333333333,0.0120962864400629,0.11,0,0.0,2,0,1500.0,1500.0,1500.0
